iri,iri label,stressor,stressor label
ECTO:0002395,,CHEBI:24431,chemical entity
ECTO:0002396,,CHEBI:22271,aflatoxin
ECTO:0002397,,CHEBI:30304,antimony(0)
ECTO:0002398,,CHEBI:22632,arsenic
ECTO:0002399,,CHEBI:22978,cadmium
ECTO:0002400,,CHEBI:25196,mercury
ECTO:0002401,,CHEBI:64047,food additive
ECTO:0002402,,CHEBI:50505,sweetening agent
ECTO:0002403,,CHEBI:65255,food preservative
ECTO:0002404,,CHEBI:77182,food colouring
ECTO:0002405,,CHEBI:35617,flavouring agent
ECTO:0002406,,CHEBI:33216,bisphenol A
ECTO:0002407,,CHEBI:10022,Vomitoxin
ECTO:0002408,,CHEBI:63047,food emulsifier
ECTO:0002409,,CHEBI:64220,monosodium glutamate
ECTO:0002410,,CHEBI:132932,disodium 5'-guanylate
